0 
0 
Evalution maximum temperature in default interior 
time[s] maximum_temperature[C] 
+0.0000000900000000 +30.0000000000000000
+0.0000001000000000 +30.0038417372046773
+0.0000002400000006 +30.0038417372046773
+0.0000004360000023 +30.0038417372046737
+0.0000007104000058 +30.0038417372046347
+0.0000010945600123 +30.0038417372043860
+0.0000016323840238 +30.0038417372031212
+0.0000023853376430 +30.0038417371969075
+0.0000034394727144 +30.0038417371673418
+0.0000049152618207 +30.0038417370326407
+0.0000069813665782 +30.0038417364497114
+0.0000098739132512 +30.0038417340717238
+0.0000139234786105 +30.0038417249838147
+0.0000195928701376 +30.0038453990977665
+0.0000275300183095 +30.0052223262373374
+0.0000386420257974 +30.0070800602328269
+0.0000541988363466 +30.0096533330130022
+0.0000759783712083 +30.0130555122513769
+0.0001064697201446 +30.0174904736299411
+0.0001491576088370 +30.0231955802687445
+0.0002089206532608 +30.0304515643339620
+0.0002925889158104 +30.0396170347306501
+0.0004097244838786 +30.0511975160045139
+0.0005737142798721 +30.0659427263121941
+0.0008032999952406 +30.0849282712055377
+0.0011247199981249 +30.1095537286510826
+0.0015747080040786 +30.1414162996736437
+0.0022046912150961 +30.1820740045275890
+0.0030866677142755 +30.2327341984412818
+0.0043214348183837 +30.2939105745785007
+0.0060501087714949 +30.3651645969119173
+0.0084702523161544 +30.4451534987083825
+0.0118584532931027 +30.5321470419028245
+0.0166019346810257 +30.6248012394718856
+0.0232428086523913 +30.7225669414319036
+0.0325400322518857 +30.8253344343714843
+0.0455561453465937 +30.9328146533344501
+0.0637787037567670 +31.0444887353372465
+0.0892902856396245 +31.1600112027891143
+0.1250065004276859 +31.2791843027525189
+0.1750092013438570 +31.4012688943377860
+0.2450129829245359 +31.5243030296580713
+0.3430182775547415 +31.6449887789822597
+0.4802256906211864 +31.7591433645963797
+0.6723160697320291 +31.8624760058013443
+0.9412426016321567 +31.9514222257262226
+1.3177397478952624 +32.0238533759042809
+1.8448357549077081 +32.0796477621788867
+2.5827701678668693 +32.1209020222643389
+3.6158783504081269 +32.1512110388152692
+5.0000000000000000 +32.1734276193379145
+5.0000001000000003 +32.1734091578032277
+5.0000002400000012 +32.1733833246684284
+5.0000004360000032 +32.1733471837169489
+5.0000007104000073 +32.1732966361140527
+5.0000010945600142 +32.1732259665900244
+5.0000016323840262 +32.1731272186605111
+5.0000023853376465 +32.1729893402078559
+5.0000034394727191 +32.1727970259375908
+5.0000049152618269 +32.1725291696661415
+5.0000069813665871 +32.1721568327687919
+5.0000098739132639 +32.1716406458018440
+5.0000139234786287 +32.1709276044685240
+5.0000195928701636 +32.1699473183921114
+5.0000275300183459 +32.1686079335902946
+5.0000386420258485 +32.1667921537165995
+5.0000541988364180 +32.1643539247494985
+5.0000759783713082 +32.1611161786013682
+5.0001064697202846 +32.1568691329061735
+5.0001491576090329 +32.1513664245744408
+5.0002089206535354 +32.1443123078699386
+5.0002925889161949 +32.1353283338493227
+5.0004097244844168 +32.1238884084670246
+5.0005737142806259 +32.1092280096877332
+5.0008032999962957 +32.0902677003983143
+5.0011247199996021 +32.0656142751273165
+5.0015747080061468 +32.0336803607672138
+5.0022046912179912 +31.9929144194500772
+5.0030866677183283 +31.9421108127062290
+5.0043214348240577 +31.8807566942894063
+5.0060501087794389 +31.8092964475766493
+5.0084702523272755 +31.7290881222279033
+5.0118584533086725 +31.6418866363316518
+5.0166019347028232 +31.5490642109579937
+5.0232428086829080 +31.4512012907448693
+5.0325400322946088 +31.3484242084405302
+5.0455561454064064 +31.2410314957542141
+5.0637787038405051 +31.1295722618995470
+5.0892902857568583 +31.0144264823667584
+5.1250065005918133 +30.8958277825133507
+5.1750092015736353 +30.7745543379549673
+5.2450129832462258 +30.6526115671311601
+5.3430182780051076 +30.5333446339053154
+5.4802256912516993 +30.4209913985187939
+5.6723160706147473 +30.3571227142982742
+5.9412426028679626 +30.3432833949561456
+6.3177397496253906 +30.3339215942355551
+6.8448357573298875 +30.3083991643876267
+7.5827701712579207 +30.2637340913873274
+8.6158783551555995 +30.2049279600917515
+10.0622298187701542 +30.1423822839645794
+12.0871218764514570 +30.0870416810895165
+14.9219707692745782 +30.0459530105527257
+18.8907592361239622 +30.0205013255636963
+24.4470631133689231 +30.0075477179851120
+32.2258885746300194 +30.0022384012714873
